Date,Ticker,Company Name,Previous Price,Current Price,Price Change (%)
2024-07-03,AA,Alcoa Inc.,40.83000183105469,42.380001068115234,3.796
2024-07-03,AEM,Agnico-Eagle Mines Limited,65.66999816894531,68.05000305175781,3.624
2024-07-03,AES,The Aes Corp.,17.530000686645508,17.889999389648438,2.054
2024-07-03,AG,First Majestic Silver,5.849999904632568,6.230000019073486,6.496
2024-07-03,AGI,Alamos Gold Inc.,15.59000015258789,16.09000015258789,3.207
2024-07-03,AHT,Ashford Hospitality Trust Inc,0.8799999952316284,0.9700000286102295,10.227
2024-07-03,ALB,Albemarle Corp.,97.05999755859375,100.08999633789062,3.122
2024-07-03,ALX,Alexander's,221.02999877929688,226.35000610351562,2.407
2024-07-03,AMX,American Movil S.A.B. De C.V.,16.969999313354492,17.31999969482422,2.062
2024-07-03,ARC,American Reprographics Company,2.9200000762939453,2.9800000190734863,2.055
2024-07-03,ASA,Asa Gold And Precious Metals,17.81999969482422,18.639999389648438,4.602
2024-07-03,ATI,Allagheny Technologies Inc.,55.90999984741211,57.43000030517578,2.719
2024-07-03,AU,Anglogold Ashanti Ltd,25.520000457763672,26.06999969482422,2.155
2024-07-03,AXR,Amrep Corp.,18.1299991607666,18.5,2.041
2024-07-03,BCH,Banco De Chile,22.68000030517578,23.3700008392334,3.042
2024-07-03,BCS,Barclays Plc,10.890000343322754,11.180000305175781,2.663
2024-07-03,BEAM,Beam Inc,22.56999969482422,23.479999542236328,4.032
2024-07-03,BEP,Brookfield Renewable,24.799999237060547,25.3700008392334,2.298
2024-07-03,CMP,Compass Minerals Intl Inc,9.930000305175781,10.449999809265137,5.237
2024-07-03,CP,Canadian Pacific Railway,78.86000061035156,80.70999908447266,2.346
2024-07-03,CRK,Comstock Resources,10.5600004196167,10.920000076293945,3.409
2024-07-03,CYN,City National Corp.,0.050999999046325684,0.05400000140070915,5.882
2024-07-03,DB,Deutsche Bank Ag,16.40999984741211,17.030000686645508,3.778
2024-07-03,DBD,Diebold Inc.,39.16999816894531,40.34000015258789,2.987
2024-07-03,DDC,Dominion Diamond Corporation,0.6000000238418579,0.6460000276565552,7.667
2024-07-03,DDD,3D Systems Corp.,2.950000047683716,3.0199999809265137,2.373
2024-07-03,DGX,Quest Diagnostics Inc.,136.63999938964844,140.89999389648438,3.118
2024-07-03,DM,Dolan Company,4.320000171661377,5.239999771118164,21.296
2024-07-03,DQ,Daqq New Energy,14.65999984741211,15.829999923706055,7.981
2024-07-03,DRD,Drdgold Limited,8.59000015258789,9.020000457763672,5.006
2024-07-03,DY,Dycom Industries,168.11000061035156,173.13999938964844,2.992
2024-07-03,GFI,Gold Fields Ltd,14.9399995803833,15.289999961853027,2.343
2024-07-03,GGB,Gerdau S.A.,3.259999990463257,3.3499999046325684,2.761
2024-07-03,GLT,Glatfelter,1.3899999856948853,1.4299999475479126,2.878
2024-07-03,GPS,Gap,23.0,23.8799991607666,3.826
2024-07-03,HBM,Hudbay Minerals Inc,9.170000076293945,9.5600004196167,4.253
2024-07-03,HCA,Hca Holdings Inc. Common Stock,319.70001220703125,326.54998779296875,2.143
2024-07-03,HL,Hecla Mining Company,4.900000095367432,5.179999828338623,5.714
2024-07-03,HMY,Harmony Gold Mining Co. Ltd,9.149999618530273,9.359999656677246,2.295
2024-07-03,HPP,Hudson Pacific Properties,4.929999828338623,5.059999942779541,2.637
2024-07-03,KOF,Coca Cola Femsa S.A.B. De C.V.,81.13999938964844,83.43000030517578,2.822
2024-07-03,KOS,Kosmos Energy Ltd.,5.570000171661377,5.840000152587891,4.847
2024-07-03,KRO,Kronos Worldwide Inc,12.619999885559082,12.890000343322754,2.139
2024-07-03,LEE,Lee Enterprises Inc.,10.600000381469727,11.020000457763672,3.962
2024-07-03,LII,Lennox International,536.0,547.0599975585938,2.063
2024-07-03,LPL,Lg Display Co. Limited American,4.329999923706055,4.420000076293945,2.079
2024-07-03,LXU,Lsb Industries Inc.,7.920000076293945,8.119999885559082,2.525
2024-07-03,MAC,Macerich Company,14.609999656677246,14.949999809265137,2.327
2024-07-03,MBI,Mbia,5.190000057220459,5.349999904632568,3.083
2024-07-03,MCS,Marcus Corp.,10.789999961853027,11.170000076293945,3.522
2024-07-03,MGM,Mgm Resorts International,42.33000183105469,43.279998779296875,2.244
2024-07-03,MOD,Modine Manufacturing Company,105.37000274658203,107.97000122070312,2.467
2024-07-03,MTW,Manitowoc Company,10.630000114440918,10.850000381469727,2.07
2024-07-03,MUX,Mcewen Mining Inc,9.100000381469727,9.720000267028809,6.813
2024-07-03,MWG,Morgan Stanley Cap TR IV Gtd Cap Secs,0.36000001430511475,0.3869999945163727,7.5
2024-07-03,MX,Magnachip Semiconductor Corp.,4.789999961853027,4.980000019073486,3.967
2024-07-03,MXF,Mexico Fund,15.970000267028809,16.299999237060547,2.066
2024-07-03,NC,Nacco Industries,27.940000534057617,28.5,2.004
2024-07-03,PDM,Piedmont Office Realty Trust,7.230000019073486,7.380000114440918,2.075
2024-07-03,PHG,Koninklijke Philips Electronics,25.280000686645508,26.030000686645508,2.967
2024-07-03,PLL,Pall Corp.,9.550000190734863,10.350000381469727,8.377
2024-07-03,PUK,Prudential Public Limited Company,18.209999084472656,18.690000534057617,2.636
2024-07-03,PWR,Quanta Services,247.77999877929688,254.60000610351562,2.752
2024-07-03,RES,Rpc,6.079999923706055,6.210000038146973,2.138
2024-07-03,RGS,Regis Corp.,19.25,21.299999237060547,10.649
2024-07-03,RIO,Rio Tinto Plc,66.01000213623047,67.9000015258789,2.863
