Date,Ticker,Company Name,Previous Price,Current Price,Price Change (%)
2024-07-03,AA,Alcoa Inc.,40.83000183105469,42.380001068115234,3.796
2024-07-03,AB,Alliance Capital Management L.P.,33.529998779296875,33.88999938964844,1.074
2024-07-03,ABR,Arbor Realty Trust,14.550000190734863,14.699999809265137,1.031
2024-07-03,ACM,Aecom Technology Corp.,85.63999938964844,86.97000122070312,1.553
2024-07-03,AEF,Aegon Nv,5.309999942779541,5.369999885559082,1.13
2024-07-03,AEG,Aegon Nv,6.21999979019165,6.329999923706055,1.768
2024-07-03,AEM,Agnico-Eagle Mines Limited,65.66999816894531,68.05000305175781,3.624
2024-07-03,AES,The Aes Corp.,17.530000686645508,17.889999389648438,2.054
2024-07-03,AG,First Majestic Silver,5.849999904632568,6.230000019073486,6.496
2024-07-03,AGI,Alamos Gold Inc.,15.59000015258789,16.09000015258789,3.207
2024-07-03,AHT,Ashford Hospitality Trust Inc,0.8799999952316284,0.9700000286102295,10.227
2024-07-03,AI,Arlington Asset Investment Corp,28.09000015258789,28.559999465942383,1.673
2024-07-03,AIF,Apollo Tactical Income Fund Inc,14.739999771118164,14.899999618530273,1.085
2024-07-03,AL,Air Lease Corporation Class A C,46.849998474121094,47.72999954223633,1.878
2024-07-03,ALB,Albemarle Corp.,97.05999755859375,100.08999633789062,3.122
2024-07-03,ALK,Alaska Air Group,39.72999954223633,40.290000915527344,1.41
2024-07-03,ALSN,Allison Transmission Holdings,75.0,75.94999694824219,1.267
2024-07-03,ALV,Autoliv,107.33999633789062,108.55000305175781,1.127
2024-07-03,ALX,Alexander's,221.02999877929688,226.35000610351562,2.407
2024-07-03,AMT,American Tower Corp.,192.27000427246094,194.7899932861328,1.311
2024-07-03,AMX,American Movil S.A.B. De C.V.,16.969999313354492,17.31999969482422,2.062
2024-07-03,ARC,American Reprographics Company,2.9200000762939453,2.9800000190734863,2.055
2024-07-03,ARDC,Ares Dynamic Credit Allocation,14.930000305175781,15.140000343322754,1.407
2024-07-03,ASA,Asa Gold And Precious Metals,17.81999969482422,18.639999389648438,4.602
2024-07-03,ASR,Grupo Aeroporuario Del Sureste,295.8500061035156,299.44000244140625,1.213
2024-07-03,ASX,Advanced Semiconductor Engineering,11.020000457763672,11.229999542236328,1.906
2024-07-03,ATI,Allagheny Technologies Inc.,55.90999984741211,57.43000030517578,2.719
2024-07-03,AU,Anglogold Ashanti Ltd,25.520000457763672,26.06999969482422,2.155
2024-07-03,AXR,Amrep Corp.,18.1299991607666,18.5,2.041
2024-07-03,AZZ,Azz Inc.,75.37000274658203,76.66000366210938,1.712
2024-07-03,BCC,Boise Cascade L.L.C. Common ST,115.8499984741211,117.47000122070312,1.398
2024-07-03,BCH,Banco De Chile,22.68000030517578,23.3700008392334,3.042
2024-07-03,BCS,Barclays Plc,10.890000343322754,11.180000305175781,2.663
2024-07-03,BTE,Baytex Energy Corp,3.559999942779541,3.609999895095825,1.404
2024-07-03,BUD,Anheuser-Busch Inbev Sa,58.65999984741211,60.060001373291016,2.387
2024-07-03,BZ,Boise Inc,18.399999618530273,18.889999389648438,2.663
2024-07-03,CAE,Cae Inc,18.729999542236328,19.170000076293945,2.349
2024-07-03,CCI,Crown Castle International Corp.,95.29000091552734,96.66000366210938,1.438
2024-07-03,CCJ,Cameco Corp.,49.72999954223633,50.560001373291016,1.669
2024-07-03,CCO,Clear Channel Outdoor Holdings,1.559999942779541,1.5800000429153442,1.282
2024-07-03,CDE,Coeur D'Alene Mines Corp.,5.630000114440918,5.960000038146973,5.861
2024-07-03,CE,Celanese Corp.,132.8800048828125,134.75999450683594,1.415
2024-07-03,CEE,Central Europe And Russia Fund,10.75,10.880000114440918,1.209
2024-07-03,CEM,Clearbridge Energy MLP Fund Inc.,46.2599983215332,47.15999984741211,1.946
2024-07-03,CHN,China Fund,10.15999984741211,10.34000015258789,1.772
2024-07-03,CIG,Comp En De Mn Cemig Ads,1.7599999904632568,1.850000023841858,5.114
2024-07-03,CLB,Core Laboratories N.V.,20.049999237060547,20.479999542236328,2.145
2024-07-03,CLF,Cliffs Natual Resources Inc.,15.630000114440918,15.949999809265137,2.047
2024-07-03,CLH,Clean Harbors,219.5500030517578,224.30999755859375,2.168
2024-07-03,CMI,Cummmins Inc.,267.54998779296875,272.0799865722656,1.693
2024-07-03,CMP,Compass Minerals Intl Inc,9.930000305175781,10.449999809265137,5.237
2024-07-03,CMRE,Costamare Inc.,16.65999984741211,16.969999313354492,1.861
2024-07-03,CNH,Cnh Global N.V.,9.75,9.920000076293945,1.744
2024-07-03,CNI,Canadian National Railway Company,117.58000183105469,119.08999633789062,1.284
2024-07-03,CP,Canadian Pacific Railway,78.86000061035156,80.70999908447266,2.346
2024-07-03,CR,Crane Company,143.13999938964844,144.6199951171875,1.034
2024-07-03,CRH,Crh Plc,72.05000305175781,73.3499984741211,1.804
2024-07-03,CRK,Comstock Resources,10.5600004196167,10.920000076293945,3.409
